Avg. goals conceded p/m,Avg. goals scored p/m,Avg. time 1st goal conced.,Avg. time 1st goal scored,Biggest defeat,Biggest victory,Clean sheets,Draws,Equipo,Failed to score,Goals against,Goals for,Losses,Matches played,Points,Torneo,Wins
0.4,0.8,42m,42m,-,3 - 0,3,3,Costa Rica,3,2,4,1,5,6,Copa Centroamericana - 2017 Panama,1
2,1,7m,2m,-,3 - 2,1,1,Costa Rica,2,6,3,1,3,4,Copa America - 2016 USA,1
0,0,-,-,-,-,0,0,Brasil,0,0,0,0,0,0,World Cup - 2018 Russia,0
0,2,-,45m,-,3 - 0,2,0,Brasil,0,0,4,0,2,6,Friendlies - 2018,2
0.67,2.33,72m,14m,-,7 - 1,1,1,Brasil,2,2,7,1,3,4,Copa America - 2016 USA,1
0.61,2.28,43m,34m,-,5 - 0,10,5,Brasil,2,11,41,1,18,41,WC Qualification South America - 2018 Russia,12
0,0,-,-,-,-,0,0,República de Corea,0,0,0,0,0,0,World Cup - 2018 Russia,0
1.4,1.4,40m,49m,-,1 - 0,2,1,República de Corea,0,7,7,2,5,7,Friendlies - 2018,2
0.33,1.33,45m,54m,-,2 - 0,5,0,República de Corea,1,2,8,1,6,15,Asian Cup - 2015 Australia,5
0.56,2.11,33m,33m,-,8 - 0,12,3,República de Corea,5,10,38,3,18,39,WC Qualification Asia - 2018 Russia,12
1,2.33,6m,12m,-,4 - 1,1,1,República de Corea,0,3,7,0,3,7,EAFF E-1 Football Championship - 2017 Japan,2
0,0,-,-,-,-,0,0,México,0,0,0,0,0,0,World Cup - 2018 Russia,0
2,1.6,39m,53m,-,2 - 1,0,1,México,0,10,8,2,5,7,Confederations Cup - 2017 Russia,2
0.33,1.33,62m,51m,-,3 - 0,2,0,México,1,1,4,1,3,6,Friendlies - 2018,2
0.4,1.2,49m,11m,-,3 - 1,3,1,México,2,2,6,1,5,10,CONCACAF Gold Cup - 2017 USA,3
0.5,1.81,43m,35m,-,3 - 0,10,4,México,2,8,29,1,16,37,WC Qualification CONCACAF - 2018 Russia,11
2,3,15m,10m,-,-,0,0,México,0,2,3,0,1,3,CONCACAF Confederations Cup Play-off - 2017 Russia,1
2.25,1.5,33m,61m,-,2 - 0,1,1,México,1,9,6,1,4,7,Copa America - 2016 USA,2
0,0,-,-,-,-,0,0,Suecia,0,0,0,0,0,0,World Cup - 2018 Russia,0
1.5,0.5,39m,23m,1 - 2,-,0,0,Suecia,1,3,1,2,2,0,Friendlies - 2018,0
0.5,1,-,-,-,1 - 0,1,1,Suecia,0,1,2,0,2,4,Non-FIFA Friendlies - 2018,1
1,0.33,73m,-,0 - 1,-,0,1,Suecia,2,3,1,2,3,1,European Championship - 2016 France,0
1,1.58,46m,34m,1 - 4,3 - 1,4,4,Suecia,1,12,19,2,12,22,EC Qualification - 2016 France,6
0.75,2.25,37m,37m,-,8 - 0,7,2,Suecia,2,9,27,3,12,23,WC Qualification Europe - 2018 Russia,7
0,0,-,-,-,-,0,0,Suecia,0,0,0,0,0,0,UEFA Nations League - 2018/2019,0
