,Season,Team,Tournament,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jugador
6,2015/2016,Wolfsburg,UCL,6(4),599,2,-,2,0.5,1.5,0.7,0.2,1.1,2.2,6.78,André Schürrle
7,2014/2015,Wolfsburg,GB,7(7),659,1,2,1.8,0.4,1,0.7,0.3,0.3,1,6.60,André Schürrle
8,2014/2015,Chelsea,UCL,3(1),190,1,-,2.3,1.3,0.5,0.3,0.8,0.8,0.5,7.02,André Schürrle
9,2014/2015,Wolfsburg,UEL,4,251,-,-,3,0.5,0.3,0.8,0.5,0.3,0.3,6.63,André Schürrle
10,2014/2015,Chelsea,EPL,5(9),433,3,-,1.5,0.4,0.4,0.5,0.3,0.4,0.4,6.61,André Schürrle
11,2016,Germany,UEC,0(3),71,-,-,0.7,0.3,0.3,-,-,-,0.3,6.25,André Schürrle
12,2013/2014,Chelsea,UCL,5(5),500,1,-,1.6,0.7,1.8,0.3,0.2,0.8,1.6,6.85,André Schürrle
13,2013/2014,Chelsea,EPL,15(15),1327,8,2,1.9,1,0.6,0.4,0.5,0.6,1.2,6.88,André Schürrle
14,2014,Germany,WC,0(6),244,3,1,2.5,0.5,0.2,0.3,0.3,0.5,0.7,6.99,André Schürrle
15,2012/2013,Bayer Leverku..,GB,34,2830,11,7,3.6,1.2,3.2,1.7,0.8,2.2,1.9,7.67,André Schürrle
16,2012/2013,Bayer Leverku..,UEL,5(1),351,2,1,3.5,1,1.7,1.2,0.5,2.5,1.2,7.21,André Schürrle
17,2012,Germany,UEC,1(1),93,-,-,3.5,-,1,-,0.5,1.5,0.5,6.66,André Schürrle
18,2011/2012,Bayer Leverku..,GB,30(1),2632,7,4,2.2,1.4,3.1,1.9,0.8,2,1.6,7.37,André Schürrle
19,2011/2012,Bayer Leverku..,UCL,6(2),587,1,-,2.4,0.8,1.5,1.4,0.3,1.4,0.9,6.92,André Schürrle
20,2010/2011,Mainz 05,GB,26(7),2489,15,4,2.7,0.8,2.5,1.7,0.6,2.2,2.4,7.25,André Schürrle
21,2009/2010,Mainz 05,GB,25(8),2304,5,2,1.1,0.6,1.5,1.7,0.5,2,-,6.94,André Schürrle
22,Total / Average,,,312,19858,75,32,2.2,0.8,1.7,1.2,0.5,1.4,1.3,7.04,André Schürrle
0,2017/2018,Juventus,ISA,22(2),1771,8,2,1.2,0.7,0.3,0.3,0.3,0.4,1,6.91,Sami Khedira
1,2017/2018,Juventus,UCL,8,633,-,3,0.6,1,0.5,0.5,0.3,0.6,0.9,6.73,Sami Khedira
2,2016/2017,Juventus,ISA,31,2548,5,4,1.3,1,0.5,0.9,0.2,0.6,0.6,7.02,Sami Khedira
3,2016/2017,Juventus,UCL,11,895,-,-,1.1,0.4,0.3,0.9,0.2,0.5,0.8,6.59,Sami Khedira
4,2015/2016,Juventus,ISA,20,1542,5,4,1.1,0.7,0.7,0.8,0.4,0.9,0.5,7.01,Sami Khedira
5,2015/2016,Juventus,UCL,4,303,-,-,0.3,1,0.5,0.8,0.5,0.3,1.5,6.56,Sami Khedira
6,2014/2015,Real Madrid,SLL,3(8),296,-,-,0.3,0.4,0.4,0.3,-,0.5,0.1,6.30,Sami Khedira
7,2014/2015,Real Madrid,UCL,1(1),74,-,-,0.5,-,0.5,0.5,-,0.5,0.5,6.52,Sami Khedira
8,2016,Germany,UEC,5,341,-,-,2.2,0.4,0.6,0.4,-,0.8,-,6.95,Sami Khedira
9,2013/2014,Real Madrid,SLL,12(1),974,1,1,0.6,0.9,0.5,0.6,0.2,0.5,0.8,6.75,Sami Khedira
10,2013/2014,Real Madrid,UCL,5,404,-,-,0.6,0.2,0.6,2,0.2,0.6,0.6,6.85,Sami Khedira
11,2014,Germany,WC,4(1),376,1,1,0.8,1,0.8,1.2,-,0.8,0.2,6.99,Sami Khedira
12,2012/2013,Real Madrid,SLL,19(6),1744,3,2,0.8,0.8,0.2,0.9,0.2,0.5,0.7,6.85,Sami Khedira
13,2012/2013,Real Madrid,UCL,9(2),761,-,2,1.1,1.1,0.2,0.8,-,0.7,0.5,6.76,Sami Khedira
14,2012,Germany,UEC,5,450,1,-,2,0.8,0.2,1.2,-,1.2,0.6,6.77,Sami Khedira
15,2011/2012,Real Madrid,SLL,20(8),1880,2,2,1,0.5,0.3,0.8,0.1,0.7,0.5,6.85,Sami Khedira
16,2011/2012,Real Madrid,UCL,8,722,1,-,1,1,0.4,0.6,0.1,0.6,1.6,7.13,Sami Khedira
17,2010/2011,Real Madrid,SLL,20(5),1839,-,1,1,0.9,0.6,1,-,0.7,0.5,6.99,Sami Khedira
18,2010/2011,Real Madrid,UCL,8,670,-,1,0.9,1.1,0.6,0.9,-,0.6,0.5,7.16,Sami Khedira
19,2009/2010,VfB Stuttgart,GB,24(1),2104,2,5,1.5,1.4,0.9,1.5,0.2,1.6,-,7.08,Sami Khedira
20,2009/2010,VfB Stuttgart,UCL,5,420,-,2,2,1.6,0.4,1,-,1.2,-,6.58,Sami Khedira
21,Total / Average,,,279,20747,29,30,1.1,0.8,0.5,0.8,0.2,0.7,0.6,6.88,Sami Khedira
